"gene_id"	"bp_length"	"symbol"
"79"	"ENSG00000005073.5"	2307	HOXA11
"80"	"ENSG00000005075.15"	1355	POLR2J
"81"	"ENSG00000005100.12"	5872	DHX33
"82"	"ENSG00000005102.12"	2707	MEOX1
"83"	"ENSG00000005108.15"	10929	THSD7A
"84"	"ENSG00000005156.11"	12919	LIG3
"85"	"ENSG00000005175.9"	5381	RPAP3
"86"	"ENSG00000005187.11"	7822	ACSM3
"87"	"ENSG00000005189.19"	4114	LOC81691
"88"	"ENSG00000005194.14"	3509	CIAPIN1
"89"	"ENSG00000005206.16"	7130	SPPL2B
"90"	"ENSG00000005238.19"	6409	FAM214B
"91"	"ENSG00000005243.9"	1851	COPZ2
"92"	"ENSG00000005249.12"	4318	PRKAR2B
"93"	"ENSG00000005302.17"	6496	MSL3
"94"	"ENSG00000005339.14"	15492	CREBBP
"95"	"ENSG00000005379.15"	11354	TSPOAP1
"96"	"ENSG00000005381.7"	3526	MPO
"97"	"ENSG00000005421.8"	2832	PON1
"98"	"ENSG00000005436.13"	5465	GCFC2
"99"	"ENSG00000005448.16"	2860	WDR54
"100"	"ENSG00000005469.11"	4979	CROT
"101"	"ENSG00000005471.15"	7494	ABCB4
"102"	"ENSG00000005483.20"	9231	KMT2E
"103"	"ENSG00000005486.16"	2441	RHBDD2
"104"	"ENSG00000005513.9"	4432	SOX8
"105"	"ENSG00000005700.14"	8722	IBTK
"106"	"ENSG00000005801.16"	5709	ZNF195
"107"	"ENSG00000005810.17"	15945	MYCBP2
"108"	"ENSG00000005812.10"	7082	FBXL3
"109"	"ENSG00000005844.17"	6472	ITGAL
"110"	"ENSG00000005882.11"	5481	PDK2
"111"	"ENSG00000005884.17"	9802	ITGA3
"112"	"ENSG00000005889.15"	9037	ZFX
"113"	"ENSG00000005893.15"	5526	LAMP2
"114"	"ENSG00000005961.17"	5551	ITGA2B
"115"	"ENSG00000005981.12"	4605	ASB4
"116"	"ENSG00000006007.11"	4416	GDE1
"117"	"ENSG00000006015.17"	3370	C19orf60
"118"	"ENSG00000006016.10"	3018	CRLF1
"119"	"ENSG00000006025.11"	6572	OSBPL7
"120"	"ENSG00000006042.11"	5187	TMEM98
"121"	"ENSG00000006047.12"	4618	YBX2
"122"	"ENSG00000006059.3"	1287	KRT33A
"123"	"ENSG00000006062.13"	5852	MAP3K14
"124"	"ENSG00000006071.12"	6778	ABCC8
"125"	"ENSG00000006116.3"	3088	CACNG3
"126"	"ENSG00000006118.14"	7271	TMEM132A
"127"	"ENSG00000006125.16"	7587	AP2B1
"128"	"ENSG00000006128.11"	1888	TAC1
"129"	"ENSG00000006194.9"	6945	ZNF263
"130"	"ENSG00000006210.6"	5983	CX3CL1
"131"	"ENSG00000006282.20"	5337	SPATA20
"132"	"ENSG00000006283.17"	9709	CACNA1G
"133"	"ENSG00000006327.13"	1848	TNFRSF12A
"134"	"ENSG00000006377.10"	3449	DLX6
"135"	"ENSG00000006432.15"	12386	MAP3K9
"136"	"ENSG00000006451.7"	3665	RALA
"137"	"ENSG00000006453.13"	4798	BAIAP2L1
"138"	"ENSG00000006459.10"	9430	KDM7A
"139"	"ENSG00000006468.13"	9616	ETV1
"140"	"ENSG00000006530.15"	6547	AGK
"141"	"ENSG00000006534.15"	6626	ALDH3B1
"142"	"ENSG00000006555.10"	6055	TTC22
"143"	"ENSG00000006576.16"	8646	PHTF2
"144"	"ENSG00000006606.8"	706	CCL26
"145"	"ENSG00000006607.13"	14413	FARP2
"146"	"ENSG00000006611.15"	4904	USH1C
"147"	"ENSG00000006625.17"	1597	GGCT
"148"	"ENSG00000006634.7"	4583	DBF4
"149"	"ENSG00000006638.11"	2793	TBXA2R
"150"	"ENSG00000006652.13"	7489	IFRD1
"151"	"ENSG00000006659.12"	1079	LGALS14
"152"	"ENSG00000006695.10"	3172	COX10
"153"	"ENSG00000006704.10"	6498	GTF2IRD1
"154"	"ENSG00000006712.14"	2668	PAF1
"155"	"ENSG00000006715.15"	7801	VPS41
"156"	"ENSG00000006740.16"	9281	ARHGAP44
"157"	"ENSG00000006744.18"	6345	ELAC2
"158"	"ENSG00000006747.14"	11623	SCIN
"159"	"ENSG00000006756.15"	7030	ARSD
"160"	"ENSG00000006757.11"	3441	PNPLA4
"161"	"ENSG00000006788.12"	6349	MYH13
"162"	"ENSG00000006831.9"	5878	ADIPOR2
"163"	"ENSG00000006837.11"	3057	CDKL3
"164"	"ENSG00000007001.12"	2957	UPP2
"165"	"ENSG00000007038.10"	1967	PRSS21
"166"	"ENSG00000007047.14"	6668	MARK4
"167"	"ENSG00000007062.11"	7434	PROM1
"168"	"ENSG00000007080.10"	1660	CCDC124
"169"	"ENSG00000007129.17"	1964	CEACAM21
"170"	"ENSG00000007168.12"	8127	PAFAH1B1
"171"	"ENSG00000007171.16"	4176	NOS2
"172"	"ENSG00000007174.17"	16980	DNAH9
"173"	"ENSG00000007202.14"	9235	KIAA0100
"174"	"ENSG00000007216.14"	3226	SLC13A2
"175"	"ENSG00000007237.18"	10100	GAS7
"176"	"ENSG00000007255.10"	933	TRAPPC6A
"177"	"ENSG00000007264.14"	4141	MATK
"178"	"ENSG00000007306.14"	2649	CEACAM7
"179"	"ENSG00000007312.12"	2080	CD79B
"180"	"ENSG00000007314.11"	8247	SCN4A
"181"	"ENSG00000007341.18"	8111	ST7L
"182"	"ENSG00000007350.16"	3650	TKTL1
"183"	"ENSG00000007372.20"	14782	PAX6
"184"	"ENSG00000007376.7"	2769	RPUSD1
"185"	"ENSG00000007384.15"	4914	RHBDF1
"186"	"ENSG00000007392.16"	6176	LUC7L
"187"	"ENSG00000007402.11"	6322	CACNA2D2
"188"	"ENSG00000007516.13"	6146	BAIAP3
"189"	"ENSG00000007520.3"	1243	TSR3
"190"	"ENSG00000007541.16"	7904	PIGQ
"191"	"ENSG00000007545.15"	8373	CRAMP1
"192"	"ENSG00000007866.18"	3046	TEAD3
"193"	"ENSG00000007908.15"	4585	SELE
"194"	"ENSG00000007923.15"	5083	DNAJC11
"195"	"ENSG00000007933.12"	3463	FMO3
"196"	"ENSG00000007944.14"	3033	MYLIP
"197"	"ENSG00000007952.17"	2529	NOX1
"198"	"ENSG00000007968.6"	5457	E2F2
"199"	"ENSG00000008018.8"	2256	PSMB1
"200"	"ENSG00000008056.12"	3209	SYN1
"201"	"ENSG00000008083.13"	6015	JARID2
"202"	"ENSG00000008086.11"	17075	CDKL5
"203"	"ENSG00000008118.9"	2676	CAMK1G
"204"	"ENSG00000008128.22"	4701	CDK11A
"205"	"ENSG00000008130.15"	5570	NADK
"206"	"ENSG00000008196.12"	6149	TFAP2B
"207"	"ENSG00000008197.4"	1856	TFAP2D
"208"	"ENSG00000008226.19"	8338	DLEC1
"209"	"ENSG00000008256.15"	5808	CYTH3
"210"	"ENSG00000008277.14"	12199	ADAM22
"211"	"ENSG00000008282.8"	2804	SYPL1
"212"	"ENSG00000008283.15"	5320	CYB561
"213"	"ENSG00000008294.20"	11963	SPAG9
"214"	"ENSG00000008300.15"	13895	c("CELSR3", "MIR4793")
"215"	"ENSG00000008311.14"	4591	AASS
"216"	"ENSG00000008323.15"	4260	PLEKHG6
"217"	"ENSG00000008324.10"	1301	SS18L2
"218"	"ENSG00000008382.15"	2049	MPND
"219"	"ENSG00000008394.12"	7440	MGST1
"220"	"ENSG00000008405.11"	5062	CRY1
"221"	"ENSG00000008438.4"	720	PGLYRP1
"222"	"ENSG00000008441.16"	6302	NFIX
"223"	"ENSG00000008513.14"	8729	ST3GAL1
"224"	"ENSG00000008516.16"	4126	MMP25
"225"	"ENSG00000008517.16"	3209	IL32
"226"	"ENSG00000008710.18"	18608	c("PKD1", "MIR6511B1")
"227"	"ENSG00000008735.13"	5901	MAPK8IP2
"228"	"ENSG00000008838.18"	6962	c("MED24", "MIR6884")
"229"	"ENSG00000008853.16"	6580	RHOBTB2
"230"	"ENSG00000008869.11"	8206	HEATR5B
"231"	"ENSG00000008952.16"	7928	SEC62
"232"	"ENSG00000008988.9"	3002	RPS20
"233"	"ENSG00000009307.15"	5778	CSDE1
"234"	"ENSG00000009335.17"	9220	UBE3C
"235"	"ENSG00000009413.15"	12425	REV3L
"236"	"ENSG00000009694.13"	12896	TENM1
"237"	"ENSG00000009709.11"	6313	PAX7
"238"	"ENSG00000009724.16"	4251	MASP2
"239"	"ENSG00000009765.14"	10362	IYD
"240"	"ENSG00000009780.15"	4034	FAM76A
"241"	"ENSG00000009790.14"	7750	TRAF3IP3
"242"	"ENSG00000009830.11"	10008	POMT2
"243"	"ENSG00000009844.15"	7262	VTA1
"244"	"ENSG00000009950.15"	4815	MLXIPL
"245"	"ENSG00000009954.10"	7053	BAZ1B
"246"	"ENSG00000010017.12"	3347	RANBP9
"247"	"ENSG00000010030.13"	2374	ETV7
"248"	"ENSG00000010072.15"	5906	SPRTN
"249"	"ENSG00000010165.19"	3827	METTL13
"250"	"ENSG00000010219.13"	7054	DYRK4
"251"	"ENSG00000010244.17"	15842	c("ZNF207", "MIR632")
"252"	"ENSG00000010256.10"	3236	UQCRC1
"253"	"ENSG00000010270.13"	4348	STARD3NL
"254"	"ENSG00000010278.12"	3299	CD9
"255"	"ENSG00000010282.14"	2891	HHATL
"256"	"ENSG00000010292.12"	6487	NCAPD2
"257"	"ENSG00000010295.19"	5203	IFFO1
"258"	"ENSG00000010310.8"	4736	GIPR
"259"	"ENSG00000010318.20"	3367	PHF7
"260"	"ENSG00000010319.6"	5011	SEMA3G
"261"	"ENSG00000010322.15"	9161	NISCH
"262"	"ENSG00000010327.10"	10588	STAB1
"263"	"ENSG00000010361.13"	2950	FUZ
"264"	"ENSG00000010379.15"	4243	SLC6A13
"265"	"ENSG00000010404.17"	9292	IDS
"266"	"ENSG00000010438.16"	1664	PRSS3
"267"	"ENSG00000010539.11"	7498	ZNF200
"268"	"ENSG00000010610.9"	4583	CD4
"269"	"ENSG00000010626.14"	3054	LRRC23
"270"	"ENSG00000010671.15"	4575	BTK
"271"	"ENSG00000010704.18"	5675	HFE
"272"	"ENSG00000010803.16"	4447	SCMH1
"273"	"ENSG00000010810.17"	7411	FYN
"274"	"ENSG00000010818.8"	9774	HIVEP2
"275"	"ENSG00000010932.15"	3602	FMO1
"276"	"ENSG00000011007.12"	5391	TCEB3
"277"	"ENSG00000011009.10"	2196	LYPLA2
"278"	"ENSG00000011021.21"	6938	CLCN6
"279"	"ENSG00000011028.13"	6860	MRC2
"280"	"ENSG00000011052.21"	1241	NME1-NME2
"281"	"ENSG00000011083.8"	4391	SLC6A7
"282"	"ENSG00000011105.11"	5714	TSPAN9
"283"	"ENSG00000011114.14"	11333	BTBD7
"284"	"ENSG00000011132.11"	5556	APBA3
"285"	"ENSG00000011143.16"	4078	MKS1
"286"	"ENSG00000011198.7"	3172	ABHD5
"287"	"ENSG00000011201.11"	7131	ANOS1
"288"	"ENSG00000011243.17"	5081	AKAP8L
"289"	"ENSG00000011258.15"	7201	MBTD1
"290"	"ENSG00000011260.13"	2721	UTP18
"291"	"ENSG00000011275.18"	7619	RNF216
"292"	"ENSG00000011295.15"	5966	TTC19
"293"	"ENSG00000011304.18"	6883	c("PTBP1", "MIR4745")
"294"	"ENSG00000011332.19"	4800	DPF1
"295"	"ENSG00000011347.9"	5953	SYT7
"296"	"ENSG00000011376.9"	5393	LARS2
"297"	"ENSG00000011405.13"	9204	PIK3C2A
"298"	"ENSG00000011422.11"	4457	PLAUR
"299"	"ENSG00000011426.10"	6012	ANLN
"300"	"ENSG00000011451.17"	7965	WIZ
"301"	"ENSG00000011454.16"	9162	c("GPR21", "RABGAP1")
"302"	"ENSG00000011465.16"	12847	DCN
"303"	"ENSG00000011478.11"	2396	QPCTL
"304"	"ENSG00000011485.14"	7059	PPP5C
"305"	"ENSG00000011523.13"	8623	CEP68
"306"	"ENSG00000011566.14"	6067	MAP4K3
"307"	"ENSG00000011590.13"	2770	ZBTB32
"308"	"ENSG00000011600.11"	907	TYROBP
"309"	"ENSG00000011638.10"	2558	TMEM159
"310"	"ENSG00000011677.12"	4193	GABRA3
"311"	"ENSG00000012048.20"	8922	BRCA1
"312"	"ENSG00000012061.15"	5576	ERCC1
"313"	"ENSG00000012124.15"	6248	c("CD22", "MIR5196")
"314"	"ENSG00000012171.18"	5768	c("SEMA3B", "MIR6872")
"315"	"ENSG00000012174.11"	8927	MBTPS2
"316"	"ENSG00000012211.12"	3194	PRICKLE3
"317"	"ENSG00000012223.12"	4247	LTF
"318"	"ENSG00000012232.8"	13220	EXTL3
"319"	"ENSG00000012504.13"	3460	NR1H4
"320"	"ENSG00000012660.13"	3813	ELOVL5
"321"	"ENSG00000012779.10"	3730	ALOX5
"322"	"ENSG00000012817.15"	9463	KDM5D
"323"	"ENSG00000012822.15"	8898	CALCOCO1
"324"	"ENSG00000012963.14"	3694	UBR7
"325"	"ENSG00000012983.11"	7620	MAP4K5
"326"	"ENSG00000013016.15"	4636	EHD3
"327"	"ENSG00000013275.7"	2387	PSMC4
"328"	"ENSG00000013288.8"	8898	MAN2B2
"329"	"ENSG00000013293.5"	10459	SLC7A14
"330"	"ENSG00000013297.10"	6032	c("CLDN11", "LOC101928583")
"331"	"ENSG00000013306.15"	3526	SLC25A39
"332"	"ENSG00000013364.18"	6141	MVP
"333"	"ENSG00000013374.15"	5411	NUB1
"334"	"ENSG00000013375.15"	7335	PGM3
"335"	"ENSG00000013392.7"	3744	RWDD2A
"336"	"ENSG00000013441.15"	5170	CLK1
"337"	"ENSG00000013503.9"	4858	POLR3B
"338"	"ENSG00000013523.9"	6414	ANGEL1
"339"	"ENSG00000013561.17"	4987	RNF14
"340"	"ENSG00000013563.13"	4130	DNASE1L1
"341"	"ENSG00000013573.16"	8374	DDX11
"342"	"ENSG00000013583.8"	3442	HEBP1
"343"	"ENSG00000013588.6"	8440	c("GPRC5A", "MIR614")
"344"	"ENSG00000013619.13"	5958	MAMLD1
"345"	"ENSG00000013725.14"	5958	CD6
"346"	"ENSG00000013810.18"	6528	TACC3
"347"	"ENSG00000014123.9"	4539	UFL1
"348"	"ENSG00000014138.8"	5726	POLA2
"349"	"ENSG00000014164.6"	3731	ZC3H3
"350"	"ENSG00000014216.15"	7553	CAPN1
"351"	"ENSG00000014257.15"	4193	ACPP
"352"	"ENSG00000014641.17"	4990	MDH1
"353"	"ENSG00000014824.13"	7225	SLC30A9
"354"	"ENSG00000014914.19"	4591	MTMR11
"355"	"ENSG00000014919.12"	4177	COX15
"356"	"ENSG00000015133.18"	12426	CCDC88C
"357"	"ENSG00000015153.14"	10839	YAF2
"358"	"ENSG00000015171.18"	5300	ZMYND11
"359"	"ENSG00000015285.10"	2381	WAS
"360"	"ENSG00000015413.9"	2737	DPEP1
"361"	"ENSG00000015475.18"	4446	BID
"362"	"ENSG00000015479.17"	11772	MATR3
"363"	"ENSG00000015520.14"	5252	NPC1L1
"364"	"ENSG00000015532.9"	5472	XYLT2
"365"	"ENSG00000015568.12"	14175	c("RGPD5", "RGPD6")
"366"	"ENSG00000015592.16"	3294	STMN4
"367"	"ENSG00000015676.17"	10113	NUDCD3
"368"	"ENSG00000016082.14"	2882	ISL1
"369"	"ENSG00000016391.10"	7758	CHDH
"370"	"ENSG00000016402.13"	4730	IL20RA
"371"	"ENSG00000016490.15"	3340	CLCA1
"372"	"ENSG00000016602.9"	3447	CLCA4
"373"	"ENSG00000016864.17"	3837	GLT8D1
"374"	"ENSG00000017260.19"	8533	ATP2C1
"375"	"ENSG00000017427.15"	8087	IGF1
"376"	"ENSG00000017483.14"	4014	SLC38A5
"377"	"ENSG00000017797.11"	4979	RALBP1
"378"	"ENSG00000018189.12"	8070	RUFY3
"379"	"ENSG00000018236.14"	7492	CNTN1
"380"	"ENSG00000018280.16"	8676	SLC11A1
"381"	"ENSG00000018408.14"	8413	WWTR1
"382"	"ENSG00000018510.13"	8745	AGPS
"383"	"ENSG00000018607.6"	1774	NA
"384"	"ENSG00000018610.13"	2580	CXorf56
"385"	"ENSG00000018625.14"	6298	ATP1A2
"386"	"ENSG00000018699.11"	3185	TTC27
"387"	"ENSG00000018869.16"	3350	ZNF582
"388"	"ENSG00000019102.11"	1432	VSIG2
"389"	"ENSG00000019144.17"	21722	c("PHLDB1", "MIR6716")
"390"	"ENSG00000019169.10"	2079	MARCO
"391"	"ENSG00000019186.9"	3972	CYP24A1
"392"	"ENSG00000019485.12"	13954	PRDM11
"393"	"ENSG00000019505.7"	5424	SYT13
"394"	"ENSG00000019549.8"	2282	SNAI2
"395"	"ENSG00000019582.14"	3184	CD74
"396"	"ENSG00000019991.15"	8897	HGF
"397"	"ENSG00000019995.6"	5993	ZRANB1
"398"	"ENSG00000020129.15"	4917	NCDN
"399"	"ENSG00000020181.17"	7061	ADGRA2
"400"	"ENSG00000020219.9"	1674	NA
"401"	"ENSG00000020256.19"	6997	ZFP64
"402"	"ENSG00000020426.10"	3865	MNAT1
"403"	"ENSG00000020577.13"	12170	SAMD4A
"404"	"ENSG00000020633.18"	4523	RUNX3
"405"	"ENSG00000020922.12"	7689	MRE11A
"406"	"ENSG00000021300.13"	4933	PLEKHB1
"407"	"ENSG00000021355.12"	3094	SERPINB1
"408"	"ENSG00000021461.16"	2637	CYP3A43
"409"	"ENSG00000021488.12"	2597	SLC7A9
"410"	"ENSG00000021574.11"	5213	SPAST
"411"	"ENSG00000021645.18"	15535	NRXN3
"412"	"ENSG00000021762.19"	7466	OSBPL5
"413"	"ENSG00000021776.10"	13528	AQR
"414"	"ENSG00000021826.14"	10444	CPS1
"415"	"ENSG00000021852.12"	2729	C8B
"416"	"ENSG00000022267.16"	5997	FHL1
"417"	"ENSG00000022277.12"	4063	RTFDC1
"418"	"ENSG00000022355.16"	6935	GABRA1
"419"	"ENSG00000022556.15"	6313	NLRP2
"420"	"ENSG00000022567.9"	8608	SLC45A4
"421"	"ENSG00000022840.15"	5911	RNF10
"422"	"ENSG00000022976.15"	5590	ZNF839
"423"	"ENSG00000023041.11"	3748	ZDHHC6
"424"	"ENSG00000023171.15"	13946	GRAMD1B
"425"	"ENSG00000023191.16"	7374	RNH1
"426"	"ENSG00000023228.13"	12268	NDUFS1
"427"	"ENSG00000023287.12"	7615	RB1CC1
"428"	"ENSG00000023318.7"	4854	ERP44
"429"	"ENSG00000023330.14"	2536	ALAS1
"430"	"ENSG00000023445.13"	7518	BIRC3
"431"	"ENSG00000023516.8"	9920	AKAP11
"432"	"ENSG00000023572.8"	1299	GLRX2
"433"	"ENSG00000023608.4"	2656	SNAPC1
"434"	"ENSG00000023697.12"	2844	DERA
"435"	"ENSG00000023734.10"	2211	STRAP
"436"	"ENSG00000023839.10"	6232	ABCC2
"437"	"ENSG00000023892.10"	2545	DEF6
"438"	"ENSG00000023902.13"	6565	PLEKHO1
"439"	"ENSG00000023909.9"	5420	GCLM
"440"	"ENSG00000024048.10"	8840	UBR2
"441"	"ENSG00000024422.11"	3923	EHD2
"442"	"ENSG00000024526.16"	5904	DEPDC1
"443"	"ENSG00000024862.17"	1507	CCDC28A
"444"	"ENSG00000025039.14"	5072	RRAGD
"445"	"ENSG00000025156.12"	2702	HSF2
"446"	"ENSG00000025293.16"	8383	PHF20
"447"	"ENSG00000025423.11"	2272	HSD17B6
"448"	"ENSG00000025434.18"	4533	NR1H3
"449"	"ENSG00000025708.13"	3320	TYMP
"450"	"ENSG00000025770.18"	3159	NCAPH2
"451"	"ENSG00000025772.7"	2062	TOMM34
"452"	"ENSG00000025796.13"	8587	SEC63
"453"	"ENSG00000025800.13"	7480	KPNA6
"454"	"ENSG00000026025.14"	5158	VIM
"455"	"ENSG00000026036.21"	8738	c("RTEL1", "RTEL1-TNFRSF6B")
"456"	"ENSG00000026103.20"	3750	FAS
"457"	"ENSG00000026297.15"	7643	RNASET2
"458"	"ENSG00000026508.16"	10057	CD44
"459"	"ENSG00000026559.13"	5437	KCNG1
"460"	"ENSG00000026652.13"	8769	AGPAT4
"461"	"ENSG00000026751.16"	4833	SLAMF7
"462"	"ENSG00000026950.16"	5547	BTN3A1
"463"	"ENSG00000027001.9"	3407	MIPEP
"464"	"ENSG00000027075.13"	8809	PRKCH
"465"	"ENSG00000027644.4"	5101	INSRR
"466"	"ENSG00000027697.13"	2571	IFNGR1
"467"	"ENSG00000027847.13"	4927	B4GALT7
"468"	"ENSG00000027869.11"	2512	SH2D2A
"469"	"ENSG00000028116.16"	3509	VRK2
"470"	"ENSG00000028137.17"	3826	c("TNFRSF1B", "MIR7846")
"471"	"ENSG00000028203.17"	8757	VEZT
"472"	"ENSG00000028277.21"	9072	POU2F2
"473"	"ENSG00000028310.17"	9572	BRD9
"474"	"ENSG00000028528.14"	9780	SNX1
"475"	"ENSG00000028839.9"	5039	TBPL1
"476"	"ENSG00000029153.14"	6983	ARNTL2
"477"	"ENSG00000029363.15"	9297	BCLAF1
"478"	"ENSG00000029364.11"	7136	SLC39A9
"479"	"ENSG00000029534.19"	10799	ANK1
"480"	"ENSG00000029559.6"	1546	IBSP
"481"	"ENSG00000029639.10"	2736	TFB1M
"482"	"ENSG00000029725.16"	6531	RABEP1
"483"	"ENSG00000029993.14"	3967	HMGB3
"484"	"ENSG00000030066.13"	8576	NUP160
"485"	"ENSG00000030110.12"	2212	BAK1
"486"	"ENSG00000030304.13"	4246	MUSK
"487"	"ENSG00000030419.16"	12240	IKZF2
"488"	"ENSG00000030582.16"	3680	GRN
"489"	"ENSG00000031003.10"	6808	FAM13B
"490"	"ENSG00000031081.10"	9384	ARHGAP31
"491"	"ENSG00000031691.6"	1733	CENPQ
"492"	"ENSG00000031698.12"	3836	SARS
"493"	"ENSG00000031823.14"	7445	RANBP3
"494"	"ENSG00000032219.18"	7568	ARID4A
"495"	"ENSG00000032389.12"	5775	TSSC1
"496"	"ENSG00000032444.15"	7055	PNPLA6
"497"	"ENSG00000032742.17"	6111	IFT88
"498"	"ENSG00000033011.11"	4496	ALG1
"499"	"ENSG00000033030.13"	9124	ZCCHC8
"500"	"ENSG00000033050.7"	4448	ABCF2
"501"	"ENSG00000033100.15"	4205	c("CHPF2", "MIR671")
"502"	"ENSG00000033122.18"	14652	LRRC7
"503"	"ENSG00000033170.16"	6700	FUT8
"504"	"ENSG00000033178.12"	11432	UBA6
"505"	"ENSG00000033327.12"	6771	GAB2
"506"	"ENSG00000033627.15"	11056	c("ATP6V0A1", "MIR5010")
"507"	"ENSG00000033800.13"	10776	PIAS1
"508"	"ENSG00000033867.16"	9616	SLC4A7
"509"	"ENSG00000034053.14"	6869	APBA2
"510"	"ENSG00000034152.18"	3783	MAP2K3
"511"	"ENSG00000034239.10"	5805	EFCAB1
"512"	"ENSG00000034510.5"	496	TMSB10
"513"	"ENSG00000034533.11"	3427	ASTE1
"514"	"ENSG00000034677.12"	6031	RNF19A
"515"	"ENSG00000034693.14"	2222	PEX3
"516"	"ENSG00000034713.7"	3034	GABARAPL2
"517"	"ENSG00000034971.15"	2095	MYOC
"518"	"ENSG00000035115.21"	11165	SH3YL1
"519"	"ENSG00000035141.7"	3086	FAM136A
"520"	"ENSG00000035403.16"	9992	VCL
"521"	"ENSG00000035499.12"	3806	DEPDC1B
"522"	"ENSG00000035664.11"	13612	DAPK2
"523"	"ENSG00000035681.7"	6165	NSMAF
"524"	"ENSG00000035687.9"	3666	ADSS
"525"	"ENSG00000035720.7"	1655	STAP1
"526"	"ENSG00000035862.12"	5633	TIMP2
"527"	"ENSG00000035928.14"	6713	RFC1
"528"	"ENSG00000036054.12"	5168	TBC1D23
"529"	"ENSG00000036257.12"	11505	CUL3
"530"	"ENSG00000036448.9"	7062	MYOM2
"531"	"ENSG00000036473.6"	1585	OTC
"532"	"ENSG00000036530.8"	9352	CYP46A1
